"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Burkina Faso","BFA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","7.19578","6.79257","7.03781","6.79653","7.62605","7.55311","8.55744","8.74263","9.5608","9.32447","10.29997","10.54672","11.3079","12.30674","13.9059","","15.82594","16.91584","16.58715","19.49589","19.95176","26.68047","26.24477","27.11621","18.59446","22.57252","","","23.46928","25.42309","26.67762","27.48242","29.1061","30.42061","31.73296","32.80571","34.97506","38.85889","43.87974","47.00051","","57.60056","","",
"Bangladesh","BGD","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","43.78712","32.00446","","","","28.2497","","","","","","","","45.50004","","","","","","","","","","","","","","","","63.81218","","","57.4767","63.95628","66.45477","74.55893","","","",
"Bulgaria","BGR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","97.3306","97.86019","97.26353","102.60421","93.49753","93.95399","91.33412","92.16457","102.56441","103.57282","100.42664","96.75766","93.9151","99.74119","110.54953","99.8453","103.04902","102.83991","101.78997","99.49287","89.59733","87.88361","86.37615","88.6128","88.27569","90.70754","94.70166","94.11207","96.28592","96.58558","102.62349","97.92663","99.59201","100.41186","99.22981","97.39435","97.52609","89.70417","94.2197","105.07665","104.43052","98.17296","","",
"Bahrain","BHR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.05654","89.76224","91.22117","93.70995","90.78276","92.86708","99.71598","105.15452","","103.00467","100.89286","99.6854","94.60911","93.91822","91.9574","","94.40799","99.07625","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.31102","","","","","82.30467","","","","","","107.08756","104.11899","105.45011","101.33172","100.03463","93.1642","","","","",
"Bosnia and Herzegovina","BIH","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","101.05327","99.33141","101.57515","96.34418","94.87212","94.03557","93.64482","96.72557","96.98412","98.21849","98.10876","98.34789","98.85191","98.94808","98.04523","98.36334","","","","94.15877","93.57325","88.89441","95.12463","96.78666","94.23719","93.58994","93.55409","","96.23916","99.96366","104.67217","130.60939","101.99809","101.78571","97.94752","96.65438","95.30863","98.11849","104.80922","105.9047","106.85349","103.27497","","",
"Belize","BLZ","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.81384","","","88.94543","95.6871","","","98.8845","100.75719","102.99902","","102.18389","103.6783","105.34129","104.83388","106.78488","102.41761","107.41003","108.29719","111.48199","116.0609","","",
"Bermuda","BMU","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","72.1694","","","","","","","","","","","","","","","","","","","","","","","","","","96.69421","102.52404","100.36675","95.39801","95.36341","93.6409","","","","99.87578","90.70632","","","",
"Bolivia","BOL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.20441","73.06884","67.6972","81.22113","82.47681","84.47035","83.91573","87.27597","83.72856","94.82715","96.04122","95.84966","99.17021","97.98039","","","99.08805","96.07863","97.0921","92.345","92.89727","92.29318","","","",
"Brazil","BRA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","76.10232","79.87823","62.37501","64.44847","66.92319","67.80824","65.6496","66.00843","67.83345","69.71059","72.03923","72.89952","74.49389","","77.12287","75.88868","","80.69745","","","","","91.60944","90.6976","88.65326","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.32571","99.10224","107.28856","103.9138","106.37352","97.03264","91.09777","93.9146","92.85342","96.13745","98.53221","99.77955","103.99334","","","",
"Brunei Darussalam","BRN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","105.80195","105.62162","111.30137","97.95443","109.48035","102.9725","100.43541","99.55178","89.58621","92.55034","83.43838","86.56811","60.20074","","127.06988","","","","","99.01961","100.96574","100.12635","103.54648","101.69521","","111.002","116.77088","117.83725","115.93764","121.49463","116.70343","118.94752","110.5301","106.95802","108.37196","109.49468","109.30847","107.05345","108.94203","109.60729","101.94281","","",
"Bhutan","BTN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","5.70011","6.10197","8.94062","9.86221","","","","","","","","","19.16634","","","","","23.95356","28.43416","","","","46.71689","50.25222","50.96012","52.17475","","","62.75629","69.12379","74.32113","75.86116","81.72352","83.96952","90.35709","91.55366","101.25904","","",
